family_id,instance_id,policy_id,performance
w2_c100_uneven,179,deep_q_networks,6825.84
w2_c100_uneven,180,deep_q_networks,6589.6
w2_c100_uneven,181,deep_q_networks,7247.72
w2_c100_uneven,182,deep_q_networks,6449.61
w2_c100_uneven,183,deep_q_networks,7730.35
w2_c100_uneven,184,deep_q_networks,6897.81
w2_c100_uneven,185,deep_q_networks,6918.32
w2_c100_uneven,186,deep_q_networks,7073.61
w2_c100_uneven,187,deep_q_networks,6875.16
w2_c100_uneven,188,deep_q_networks,6523.12
w2_c100_uneven,189,deep_q_networks,7304.44
w2_c100_uneven,190,deep_q_networks,7222.43
w2_c100_uneven,191,deep_q_networks,7266.09
w2_c100_uneven,192,deep_q_networks,7235.35
w2_c100_uneven,193,deep_q_networks,7094.27
w2_c100_uneven,194,deep_q_networks,6742.84
w2_c100_uneven,195,deep_q_networks,7255.97
w2_c100_uneven,196,deep_q_networks,6461.84
w2_c100_uneven,197,deep_q_networks,6797.0
w2_c100_uneven,198,deep_q_networks,7483.3
w2_c100_uneven,199,deep_q_networks,6572.84
w2_c100_uniform,0,deep_q_networks,5789.91
w2_c100_uniform,1,deep_q_networks,6043.0
w2_c100_uniform,2,deep_q_networks,6034.7
w2_c100_uniform,3,deep_q_networks,6572.22
w2_c100_uniform,4,deep_q_networks,6597.61
w2_c100_uniform,5,deep_q_networks,6098.05
w2_c100_uniform,6,deep_q_networks,6583.16
w2_c100_uniform,7,deep_q_networks,5849.28
w2_c100_uniform,8,deep_q_networks,6586.26
w2_c100_uniform,9,deep_q_networks,6192.58
w2_c100_uniform,10,deep_q_networks,6350.84
w2_c100_uniform,11,deep_q_networks,6398.74
w2_c100_uniform,12,deep_q_networks,6115.68
w2_c100_uniform,13,deep_q_networks,6262.43
w2_c100_uniform,14,deep_q_networks,6813.59
w2_c100_uniform,15,deep_q_networks,5969.91
w2_c100_uniform,16,deep_q_networks,6246.97
w2_c100_uniform,17,deep_q_networks,6590.67
w2_c100_uniform,18,deep_q_networks,6205.82
w2_c100_uniform,19,deep_q_networks,6752.37
w2_c100_uniform,20,deep_q_networks,6532.12
w2_c100_uniform,21,deep_q_networks,6427.15
w2_c100_uniform,22,deep_q_networks,6476.14
w2_c100_uniform,23,deep_q_networks,6579.62
w2_c100_uniform,24,deep_q_networks,6941.9
w2_c100_uniform,25,deep_q_networks,6679.15
w2_c100_uniform,26,deep_q_networks,6315.04
w2_c100_uniform,27,deep_q_networks,6297.21
w2_c100_uniform,28,deep_q_networks,6377.67
w2_c100_uniform,29,deep_q_networks,6914.43
w2_c100_uniform,30,deep_q_networks,6991.93
w2_c100_uniform,31,deep_q_networks,6169.96
w2_c100_uniform,32,deep_q_networks,6768.79
w2_c100_uniform,33,deep_q_networks,7455.6
w2_c100_uniform,34,deep_q_networks,6629.67
w2_c100_uniform,35,deep_q_networks,6336.29
w2_c100_uniform,36,deep_q_networks,6411.78
w2_c100_uniform,37,deep_q_networks,6454.71
w2_c100_uniform,38,deep_q_networks,6198.59
w2_c100_uniform,39,deep_q_networks,6658.97
w2_c100_uniform,40,deep_q_networks,6462.83
w2_c100_uniform,41,deep_q_networks,6186.44
w2_c100_uniform,42,deep_q_networks,6667.51
w2_c100_uniform,43,deep_q_networks,6117.27
w2_c100_uniform,44,deep_q_networks,6812.0
w2_c100_uniform,45,deep_q_networks,6175.82
w2_c100_uniform,46,deep_q_networks,6396.47
w2_c100_uniform,47,deep_q_networks,6727.94
w2_c100_uniform,48,deep_q_networks,6376.54
w2_c100_uniform,49,deep_q_networks,6024.1
w2_c100_uniform,50,deep_q_networks,6257.52
w2_c100_uniform,51,deep_q_networks,6308.51
w2_c100_uniform,52,deep_q_networks,6250.53
w2_c100_uniform,53,deep_q_networks,6807.09
w2_c100_uniform,54,deep_q_networks,6384.66
w2_c100_uniform,55,deep_q_networks,6852.07
w2_c100_uniform,56,deep_q_networks,6484.34
w2_c100_uniform,57,deep_q_networks,6450.65
w2_c100_uniform,58,deep_q_networks,6723.62
w2_c100_uniform,59,deep_q_networks,6128.81
w2_c100_uniform,60,deep_q_networks,6736.39
w2_c100_uniform,61,deep_q_networks,6313.78
w2_c100_uniform,62,deep_q_networks,6818.68
w2_c100_uniform,63,deep_q_networks,6178.27
w2_c100_uniform,64,deep_q_networks,6355.97
w2_c100_uniform,65,deep_q_networks,5785.46
w2_c100_uniform,66,deep_q_networks,6222.21
w2_c100_uniform,67,deep_q_networks,6629.92
w2_c100_uniform,68,deep_q_networks,6843.37
w2_c100_uniform,69,deep_q_networks,6637.85
w2_c100_uniform,70,deep_q_networks,6925.58
w2_c100_uniform,71,deep_q_networks,6380.47
w2_c100_uniform,72,deep_q_networks,6458.12
w2_c100_uniform,73,deep_q_networks,6787.24
w2_c100_uniform,74,deep_q_networks,5960.69
w2_c100_uniform,75,deep_q_networks,6656.47
w2_c100_uniform,76,deep_q_networks,6413.72
w2_c100_uniform,77,deep_q_networks,6393.11
w2_c100_uniform,78,deep_q_networks,5979.17
w2_c100_uniform,79,deep_q_networks,6843.56
w2_c100_uniform,80,deep_q_networks,5878.69
w2_c100_uniform,81,deep_q_networks,6749.96
w2_c100_uniform,82,deep_q_networks,6281.04
w2_c100_uniform,83,deep_q_networks,6528.36
w2_c100_uniform,84,deep_q_networks,6180.73
w2_c100_uniform,85,deep_q_networks,5849.3
w2_c100_uniform,86,deep_q_networks,6592.69
w2_c100_uniform,87,deep_q_networks,6264.41
w2_c100_uniform,88,deep_q_networks,7124.99
w2_c100_uniform,89,deep_q_networks,5971.67
w2_c100_uniform,90,deep_q_networks,7215.24
w2_c100_uniform,91,deep_q_networks,6512.95
w2_c100_uniform,92,deep_q_networks,6624.35
w2_c100_uniform,93,deep_q_networks,6591.0
w2_c100_uniform,94,deep_q_networks,6456.76
w2_c100_uniform,95,deep_q_networks,6287.97
w2_c100_uniform,96,deep_q_networks,6687.64
w2_c100_uniform,97,deep_q_networks,6104.51
w2_c100_uniform,98,deep_q_networks,6644.65
w2_c100_uniform,99,deep_q_networks,5688.54
w2_c100_uniform,100,deep_q_networks,6573.62
w2_c100_uniform,101,deep_q_networks,6287.44
w2_c100_uniform,102,deep_q_networks,6529.9
w2_c100_uniform,103,deep_q_networks,6303.54
w2_c100_uniform,104,deep_q_networks,6323.77
w2_c100_uniform,105,deep_q_networks,6779.88
w2_c100_uniform,106,deep_q_networks,6506.3
w2_c100_uniform,107,deep_q_networks,6162.56
w2_c100_uniform,108,deep_q_networks,6709.14
w2_c100_uniform,109,deep_q_networks,6420.64
w2_c100_uniform,110,deep_q_networks,6346.02
w2_c100_uniform,111,deep_q_networks,6130.23
w2_c100_uniform,112,deep_q_networks,6547.41
w2_c100_uniform,113,deep_q_networks,6474.69
w2_c100_uniform,114,deep_q_networks,6123.06
w2_c100_uniform,115,deep_q_networks,6535.35
w2_c100_uniform,116,deep_q_networks,6951.46
w2_c100_uniform,117,deep_q_networks,6074.7
w2_c100_uniform,118,deep_q_networks,6196.49
w2_c100_uniform,119,deep_q_networks,6846.09
w2_c100_uniform,120,deep_q_networks,5984.11
w2_c100_uniform,121,deep_q_networks,6643.56
w2_c100_uniform,122,deep_q_networks,6591.44
w2_c100_uniform,123,deep_q_networks,6672.07
w2_c100_uniform,124,deep_q_networks,6790.77
w2_c100_uniform,125,deep_q_networks,6285.31
w2_c100_uniform,126,deep_q_networks,6294.56
w2_c100_uniform,127,deep_q_networks,6195.73
w2_c100_uniform,128,deep_q_networks,6097.47
w2_c100_uniform,129,deep_q_networks,6650.21
w2_c100_uniform,130,deep_q_networks,6530.17
w2_c100_uniform,131,deep_q_networks,6180.92
w2_c100_uniform,132,deep_q_networks,6802.58
w2_c100_uniform,133,deep_q_networks,6203.3
w2_c100_uniform,134,deep_q_networks,6301.6
w2_c100_uniform,135,deep_q_networks,6056.89
w2_c100_uniform,136,deep_q_networks,6551.83
w2_c100_uniform,137,deep_q_networks,6445.66
w2_c100_uniform,138,deep_q_networks,6695.94
w2_c100_uniform,139,deep_q_networks,6795.39
w2_c100_uniform,140,deep_q_networks,6195.94
w2_c100_uniform,141,deep_q_networks,5960.04
w2_c100_uniform,142,deep_q_networks,6499.24
w2_c100_uniform,143,deep_q_networks,6844.11
w2_c100_uniform,144,deep_q_networks,6683.03
w2_c100_uniform,145,deep_q_networks,6353.2
w2_c100_uniform,146,deep_q_networks,6234.92
w2_c100_uniform,147,deep_q_networks,6262.56
w2_c100_uniform,148,deep_q_networks,6672.66
w2_c100_uniform,149,deep_q_networks,6365.73
w2_c100_uniform,150,deep_q_networks,6497.46
w2_c100_uniform,151,deep_q_networks,6710.85
w2_c100_uniform,152,deep_q_networks,6059.0
w2_c100_uniform,153,deep_q_networks,5957.47
w2_c100_uniform,154,deep_q_networks,6751.12
w2_c100_uniform,155,deep_q_networks,6775.8
w2_c100_uniform,156,deep_q_networks,6252.85
w2_c100_uniform,157,deep_q_networks,6734.76
w2_c100_uniform,158,deep_q_networks,6468.11
w2_c100_uniform,159,deep_q_networks,6133.84
w2_c100_uniform,160,deep_q_networks,6619.08
w2_c100_uniform,161,deep_q_networks,7117.57
w2_c100_uniform,162,deep_q_networks,6184.3
w2_c100_uniform,163,deep_q_networks,6592.27
w2_c100_uniform,164,deep_q_networks,6916.92
w2_c100_uniform,165,deep_q_networks,6829.86
w2_c100_uniform,166,deep_q_networks,6647.17
w2_c100_uniform,167,deep_q_networks,6581.84
w2_c100_uniform,168,deep_q_networks,6554.88
w2_c100_uniform,169,deep_q_networks,6202.13
w2_c100_uniform,170,deep_q_networks,6223.53
w2_c100_uniform,171,deep_q_networks,7188.37
w2_c100_uniform,172,deep_q_networks,6686.58
w2_c100_uniform,173,deep_q_networks,6535.52
w2_c100_uniform,174,deep_q_networks,6090.32
w2_c100_uniform,175,deep_q_networks,6731.41
w2_c100_uniform,176,deep_q_networks,6502.86
w2_c100_uniform,177,deep_q_networks,6318.43
w2_c100_uniform,178,deep_q_networks,6356.89
w2_c100_uniform,179,deep_q_networks,6789.01
w2_c100_uniform,180,deep_q_networks,6690.85
w2_c100_uniform,181,deep_q_networks,6480.97
w2_c100_uniform,182,deep_q_networks,6476.09
w2_c100_uniform,183,deep_q_networks,7192.6
w2_c100_uniform,184,deep_q_networks,6227.74
w2_c100_uniform,185,deep_q_networks,6012.48
w2_c100_uniform,186,deep_q_networks,6162.39
w2_c100_uniform,187,deep_q_networks,6498.44
w2_c100_uniform,188,deep_q_networks,6032.28
w2_c100_uniform,189,deep_q_networks,6463.35
w2_c100_uniform,190,deep_q_networks,6640.82
w2_c100_uniform,191,deep_q_networks,6277.56
w2_c100_uniform,192,deep_q_networks,6160.0
w2_c100_uniform,193,deep_q_networks,6606.24
w2_c100_uniform,194,deep_q_networks,6350.41
w2_c100_uniform,195,deep_q_networks,6961.22
w2_c100_uniform,196,deep_q_networks,6001.24
w2_c100_uniform,197,deep_q_networks,6628.51
w2_c100_uniform,198,deep_q_networks,6592.37
w2_c100_uniform,199,deep_q_networks,6253.05
w2_c200_uneven,0,deep_q_networks,12901.52
w2_c200_uneven,1,deep_q_networks,13130.02
w2_c200_uneven,2,deep_q_networks,13686.88
w2_c200_uneven,3,deep_q_networks,13473.37
w2_c200_uneven,4,deep_q_networks,13633.0
w2_c200_uneven,5,deep_q_networks,13360.9
w2_c200_uneven,6,deep_q_networks,13853.55
w2_c200_uneven,7,deep_q_networks,13721.68
w2_c200_uneven,8,deep_q_networks,13889.6
w2_c200_uneven,9,deep_q_networks,13747.51
w2_c200_uneven,10,deep_q_networks,13261.3
w2_c200_uneven,11,deep_q_networks,13265.48
w2_c200_uneven,12,deep_q_networks,14234.52
w2_c200_uneven,13,deep_q_networks,13630.17
w2_c200_uneven,14,deep_q_networks,14203.53
w2_c200_uneven,15,deep_q_networks,13887.47
w2_c200_uneven,16,deep_q_networks,13276.3
w2_c200_uneven,17,deep_q_networks,14196.61
w2_c200_uneven,18,deep_q_networks,13315.96
w2_c200_uneven,19,deep_q_networks,13746.6
w2_c200_uneven,20,deep_q_networks,13546.59
w2_c200_uneven,21,deep_q_networks,13257.46
w2_c200_uneven,22,deep_q_networks,13567.48
w2_c200_uneven,23,deep_q_networks,14058.15
w2_c200_uneven,24,deep_q_networks,13634.3
w2_c200_uneven,25,deep_q_networks,13997.62
w2_c200_uneven,26,deep_q_networks,13428.64
w2_c200_uneven,27,deep_q_networks,13446.05
w2_c200_uneven,28,deep_q_networks,13305.38
w2_c200_uneven,29,deep_q_networks,13789.79
w2_c200_uneven,30,deep_q_networks,14451.79
