max_depth,generation,id,individual,fitness
4,2,8,"mult(mult(mult(add(INITIAL_CAPACITY, CAPACITY), mult(DISTANCE, INITIAL_CAPACITY)), add(div(CAPACITY, DISTANCE), mult(DISTANCE, INITIAL_CAPACITY))), sub(mult(sub(INITIAL_CAPACITY, DISTANCE), add(CAPACITY, CAPACITY)), add(mult(INITIAL_CAPACITY, DISTANCE), add(CAPACITY, CAPACITY))))",-23867.66186136321
4,2,9,"div(INITIAL_CAPACITY, DISTANCE)",-24009.659013696448
4,2,10,"div(INITIAL_CAPACITY, DISTANCE)",-24009.659013696448
4,2,11,CAPACITY,-30903.21614994234
4,2,12,"sub(CAPACITY, mult(div(INITIAL_CAPACITY, CAPACITY), DISTANCE))",-22309.916561715792
4,2,13,"sub(div(INITIAL_CAPACITY, CAPACITY), add(CAPACITY, CAPACITY))",-37674.11276546717
4,2,14,CAPACITY,-30903.21614994234
4,2,15,INITIAL_CAPACITY,-37868.76354722587
4,2,16,"div(INITIAL_CAPACITY, DISTANCE)",-24009.659013696448
4,2,17,CAPACITY,-30903.21614994234
4,2,18,CAPACITY,-30903.21614994234
4,2,19,"sub(div(div(CAPACITY, DISTANCE), add(CAPACITY, DISTANCE)), div(sub(CAPACITY, INITIAL_CAPACITY), mult(CAPACITY, INITIAL_CAPACITY)))",-30447.098899378754
4,2,20,"sub(CAPACITY, DISTANCE)",-22651.817913096434
4,2,21,CAPACITY,-30903.21614994234
4,2,22,"sub(div(CAPACITY, CAPACITY), div(CAPACITY, CAPACITY))",-24880.085288224862
4,2,23,"div(mult(add(DISTANCE, CAPACITY), mult(INITIAL_CAPACITY, CAPACITY)), add(sub(CAPACITY, INITIAL_CAPACITY), DISTANCE))",-43969.408738058395
4,2,24,"mult(add(sub(mult(DISTANCE, DISTANCE), sub(DISTANCE, DISTANCE)), sub(div(INITIAL_CAPACITY, DISTANCE), div(CAPACITY, INITIAL_CAPACITY))), sub(div(div(CAPACITY, DISTANCE), sub(INITIAL_CAPACITY, INITIAL_CAPACITY)), add(add(CAPACITY, DISTANCE), sub(CAPACITY, INITIAL_CAPACITY))))",-27268.359945292537
4,2,25,"mult(add(DISTANCE, CAPACITY), sub(CAPACITY, DISTANCE))",-23530.136597144032
4,2,26,INITIAL_CAPACITY,-37868.76354722587
4,2,27,"mult(add(mult(add(DISTANCE, CAPACITY), add(DISTANCE, INITIAL_CAPACITY)), sub(mult(CAPACITY, INITIAL_CAPACITY), sub(INITIAL_CAPACITY, CAPACITY))), sub(mult(div(CAPACITY, DISTANCE), add(DISTANCE, CAPACITY)), mult(add(DISTANCE, CAPACITY), sub(INITIAL_CAPACITY, CAPACITY))))",-30466.990996883484
4,2,28,"mult(add(DISTANCE, DISTANCE), sub(div(INITIAL_CAPACITY, DISTANCE), DISTANCE))",-24816.640656599742
4,2,29,"mult(div(div(INITIAL_CAPACITY, CAPACITY), div(mult(DISTANCE, DISTANCE), CAPACITY)), mult(div(INITIAL_CAPACITY, DISTANCE), DISTANCE))",-24009.659013696448
4,2,30,"div(CAPACITY, DISTANCE)",-22254.597711649025
4,2,31,"div(CAPACITY, DISTANCE)",-22254.597711649025
4,2,32,"div(CAPACITY, DISTANCE)",-22254.597711649025
4,2,33,CAPACITY,-30903.21614994234
4,2,34,CAPACITY,-30903.21614994234
4,2,35,"mult(add(sub(mult(DISTANCE, DISTANCE), sub(DISTANCE, DISTANCE)), sub(div(INITIAL_CAPACITY, DISTANCE), div(CAPACITY, INITIAL_CAPACITY))), sub(div(div(CAPACITY, DISTANCE), sub(INITIAL_CAPACITY, INITIAL_CAPACITY)), add(add(CAPACITY, DISTANCE), sub(INITIAL_CAPACITY, INITIAL_CAPACITY))))",-26180.425480944843
4,2,36,"div(add(CAPACITY, CAPACITY), DISTANCE)",-22254.597711649025
4,2,37,"div(INITIAL_CAPACITY, CAPACITY)",-37224.06128736743
4,2,38,"mult(add(DISTANCE, INITIAL_CAPACITY), sub(div(INITIAL_CAPACITY, DISTANCE), DISTANCE))",-26180.826481674296
4,2,39,"div(add(CAPACITY, CAPACITY), DISTANCE)",-22254.597711649025
4,2,40,"div(CAPACITY, DISTANCE)",-22254.597711649025
4,2,41,"div(INITIAL_CAPACITY, CAPACITY)",-37224.06128736743
4,2,42,"mult(add(DISTANCE, sub(mult(CAPACITY, INITIAL_CAPACITY), sub(INITIAL_CAPACITY, CAPACITY))), sub(mult(div(CAPACITY, DISTANCE), add(INITIAL_CAPACITY, CAPACITY)), mult(add(DISTANCE, CAPACITY), sub(INITIAL_CAPACITY, CAPACITY))))",-34734.63179508119
4,2,43,"div(div(sub(DISTANCE, CAPACITY), mult(DISTANCE, CAPACITY)), sub(add(DISTANCE, INITIAL_CAPACITY), div(INITIAL_CAPACITY, DISTANCE)))",-41050.20565260346
4,2,44,"sub(div(CAPACITY, CAPACITY), div(CAPACITY, CAPACITY))",-24880.085288224862
4,2,45,"sub(DISTANCE, DISTANCE)",-24880.085288224862
4,2,46,CAPACITY,-30903.21614994234
4,2,47,"sub(div(div(CAPACITY, DISTANCE), add(CAPACITY, DISTANCE)), div(sub(CAPACITY, INITIAL_CAPACITY), mult(CAPACITY, INITIAL_CAPACITY)))",-30447.098899378754
4,2,48,CAPACITY,-30903.21614994234
4,2,49,CAPACITY,-30903.21614994234
4,2,50,"mult(add(mult(add(DISTANCE, CAPACITY), add(DISTANCE, INITIAL_CAPACITY)), sub(mult(CAPACITY, INITIAL_CAPACITY), sub(INITIAL_CAPACITY, CAPACITY))), sub(mult(div(CAPACITY, DISTANCE), add(INITIAL_CAPACITY, CAPACITY)), mult(add(DISTANCE, CAPACITY), sub(INITIAL_CAPACITY, CAPACITY))))",-30133.505303701346
4,2,51,"mult(div(div(INITIAL_CAPACITY, CAPACITY), div(CAPACITY, CAPACITY)), mult(div(INITIAL_CAPACITY, DISTANCE), DISTANCE))",-37868.76354722587
4,2,52,"mult(div(INITIAL_CAPACITY, DISTANCE), div(DISTANCE, INITIAL_CAPACITY))",-29373.955978891823
4,2,53,"mult(div(INITIAL_CAPACITY, DISTANCE), div(DISTANCE, INITIAL_CAPACITY))",-29373.955978891823
4,2,54,"mult(DISTANCE, INITIAL_CAPACITY)",-46437.40789085165
4,2,55,"div(sub(sub(sub(DISTANCE, CAPACITY), add(DISTANCE, INITIAL_CAPACITY)), mult(div(INITIAL_CAPACITY, INITIAL_CAPACITY), sub(CAPACITY, DISTANCE))), add(div(add(CAPACITY, DISTANCE), sub(CAPACITY, CAPACITY)), mult(sub(DISTANCE, DISTANCE), sub(CAPACITY, CAPACITY))))",-24880.085288224862
4,2,56,"sub(DISTANCE, mult(INITIAL_CAPACITY, mult(CAPACITY, CAPACITY)))",-37674.11276546717
4,2,57,"sub(DISTANCE, INITIAL_CAPACITY)",-42439.587648414396
4,2,58,"mult(add(mult(add(DISTANCE, CAPACITY), add(DISTANCE, INITIAL_CAPACITY)), sub(mult(CAPACITY, INITIAL_CAPACITY), sub(INITIAL_CAPACITY, CAPACITY))), sub(mult(div(CAPACITY, DISTANCE), add(INITIAL_CAPACITY, CAPACITY)), mult(CAPACITY, sub(INITIAL_CAPACITY, CAPACITY))))",-34001.26575791636
4,2,59,"mult(CAPACITY, CAPACITY)",-30903.21614994234
4,2,60,"div(CAPACITY, CAPACITY)",-24880.085288224862
4,2,61,"mult(add(DISTANCE, CAPACITY), INITIAL_CAPACITY)",-45124.72075847521
4,2,62,CAPACITY,-30903.21614994234
4,2,63,"div(add(add(CAPACITY, DISTANCE), sub(INITIAL_CAPACITY, INITIAL_CAPACITY)), DISTANCE)",-22254.597711649025
4,2,64,"mult(mult(mult(add(INITIAL_CAPACITY, CAPACITY), mult(DISTANCE, INITIAL_CAPACITY)), add(div(CAPACITY, DISTANCE), mult(DISTANCE, INITIAL_CAPACITY))), sub(mult(sub(INITIAL_CAPACITY, DISTANCE), add(CAPACITY, CAPACITY)), add(mult(INITIAL_CAPACITY, DISTANCE), add(CAPACITY, CAPACITY))))",-23867.66186136321
4,2,65,CAPACITY,-30903.21614994234
4,2,66,"div(INITIAL_CAPACITY, DISTANCE)",-24009.659013696448
4,2,67,CAPACITY,-30903.21614994234
4,2,68,"mult(CAPACITY, mult(sub(CAPACITY, DISTANCE), DISTANCE))",-24699.396353782315
4,2,69,"div(add(CAPACITY, CAPACITY), DISTANCE)",-22254.597711649025
4,2,70,"div(DISTANCE, DISTANCE)",-24880.085288224862
4,2,71,"div(div(CAPACITY, mult(CAPACITY, DISTANCE)), add(div(CAPACITY, DISTANCE), add(DISTANCE, sub(INITIAL_CAPACITY, CAPACITY))))",-24697.710102236335
4,2,72,"mult(add(sub(mult(DISTANCE, DISTANCE), sub(DISTANCE, DISTANCE)), sub(div(INITIAL_CAPACITY, DISTANCE), div(CAPACITY, INITIAL_CAPACITY))), sub(div(div(CAPACITY, DISTANCE), sub(INITIAL_CAPACITY, INITIAL_CAPACITY)), add(add(CAPACITY, DISTANCE), sub(INITIAL_CAPACITY, INITIAL_CAPACITY))))",-26180.425480944843
4,2,73,"mult(add(mult(add(DISTANCE, CAPACITY), add(DISTANCE, INITIAL_CAPACITY)), sub(mult(CAPACITY, INITIAL_CAPACITY), sub(INITIAL_CAPACITY, CAPACITY))), sub(mult(div(CAPACITY, DISTANCE), add(INITIAL_CAPACITY, CAPACITY)), mult(add(DISTANCE, CAPACITY), sub(INITIAL_CAPACITY, CAPACITY))))",-30133.505303701346
4,2,74,"sub(div(CAPACITY, DISTANCE), DISTANCE)",-24775.866787038663
4,2,75,CAPACITY,-30903.21614994234
4,2,76,CAPACITY,-30903.21614994234
4,2,77,CAPACITY,-30903.21614994234
4,2,78,CAPACITY,-30903.21614994234
4,2,79,"sub(div(INITIAL_CAPACITY, CAPACITY), add(CAPACITY, CAPACITY))",-37674.11276546717
4,2,80,"mult(div(INITIAL_CAPACITY, mult(DISTANCE, CAPACITY)), mult(CAPACITY, INITIAL_CAPACITY))",-32317.824810056616
4,2,81,"div(DISTANCE, DISTANCE)",-24880.085288224862
