max_depth,generation,id,individual,fitness
4,1,88,"sub(sub(DISTANCE, DISTANCE), sub(INITIAL_CAPACITY, CAPACITY))",-3526.758698883071
4,1,89,INITIAL_CAPACITY,-3811.147489705553
4,1,90,"add(add(mult(add(DISTANCE, CAPACITY), div(INITIAL_CAPACITY, DISTANCE)), div(add(DISTANCE, CAPACITY), mult(DISTANCE, CAPACITY))), add(div(mult(DISTANCE, CAPACITY), add(CAPACITY, DISTANCE)), add(mult(DISTANCE, INITIAL_CAPACITY), mult(DISTANCE, DISTANCE))))",-6564.914741826101
4,1,91,INITIAL_CAPACITY,-3811.147489705553
4,1,92,"sub(INITIAL_CAPACITY, DISTANCE)",-2779.231825447397
4,1,93,"sub(INITIAL_CAPACITY, DISTANCE)",-2779.231825447397
4,1,94,INITIAL_CAPACITY,-3811.147489705553
4,1,95,"sub(DISTANCE, DISTANCE)",-2778.8174254325213
4,1,96,CAPACITY,-3588.788280293496
4,1,97,"sub(div(CAPACITY, DISTANCE), mult(sub(div(DISTANCE, INITIAL_CAPACITY), mult(INITIAL_CAPACITY, INITIAL_CAPACITY)), CAPACITY))",-4165.378076860176
4,1,98,INITIAL_CAPACITY,-3811.147489705553
4,1,99,"sub(INITIAL_CAPACITY, INITIAL_CAPACITY)",-2778.8174254325213
4,1,100,"mult(div(INITIAL_CAPACITY, CAPACITY), mult(INITIAL_CAPACITY, mult(DISTANCE, CAPACITY)))",-6493.430342993001
4,2,1,"div(CAPACITY, DISTANCE)",-2688.206276056533
4,2,2,"div(CAPACITY, DISTANCE)",-2688.206276056533
4,2,3,"div(CAPACITY, DISTANCE)",-2688.206276056533
4,2,4,"div(CAPACITY, DISTANCE)",-2688.206276056533
4,2,5,"div(CAPACITY, DISTANCE)",-2688.206276056533
4,2,6,"div(CAPACITY, DISTANCE)",-2688.206276056533
4,2,7,"div(sub(CAPACITY, DISTANCE), DISTANCE)",-2688.206276056533
4,2,8,"sub(CAPACITY, DISTANCE)",-2737.0869470519438
4,2,9,"add(add(mult(div(INITIAL_CAPACITY, CAPACITY), add(INITIAL_CAPACITY, INITIAL_CAPACITY)), mult(add(CAPACITY, CAPACITY), add(CAPACITY, CAPACITY))), div(sub(div(DISTANCE, INITIAL_CAPACITY), mult(INITIAL_CAPACITY, INITIAL_CAPACITY)), div(div(CAPACITY, INITIAL_CAPACITY), mult(CAPACITY, DISTANCE))))",-2760.547222442302
4,2,10,"sub(DISTANCE, DISTANCE)",-2778.8174254325213
4,2,11,"div(CAPACITY, DISTANCE)",-2688.206276056533
4,2,12,"div(CAPACITY, div(CAPACITY, sub(INITIAL_CAPACITY, INITIAL_CAPACITY)))",-2778.8174254325213
4,2,13,"sub(div(CAPACITY, DISTANCE), mult(DISTANCE, CAPACITY))",-3275.3727970012014
4,2,14,"sub(div(CAPACITY, sub(INITIAL_CAPACITY, INITIAL_CAPACITY)), div(CAPACITY, add(div(INITIAL_CAPACITY, CAPACITY), add(DISTANCE, INITIAL_CAPACITY))))",-5730.764247494311
4,2,15,"div(CAPACITY, sub(CAPACITY, DISTANCE))",-5700.735260409392
4,2,16,INITIAL_CAPACITY,-3811.147489705553
4,2,17,DISTANCE,-6566.020327020464
4,2,18,"div(DISTANCE, CAPACITY)",-5790.178922502918
4,2,19,"mult(add(mult(add(DISTANCE, CAPACITY), DISTANCE), sub(mult(CAPACITY, INITIAL_CAPACITY), sub(INITIAL_CAPACITY, CAPACITY))), sub(mult(div(CAPACITY, DISTANCE), add(INITIAL_CAPACITY, CAPACITY)), mult(add(DISTANCE, CAPACITY), sub(INITIAL_CAPACITY, CAPACITY))))",-2917.915104222445
