Wall time,Step,Value
1789602313.738127,1003520,-32.94294738769531
1789602314.906755,1007616,-32.688438415527344
1789602316.0736918,1011712,-32.70471954345703
1789602317.826421,1017856,-32.83287048339844
1789602324.2514071,1040384,-32.52057647705078
1789602326.594929,1048576,-32.592437744140625
1789602327.179714,1050624,-32.762123107910156
1789602328.34932,1054720,-32.656036376953125
1789602329.5212421,1058816,-32.584503173828125
1789602330.105657,1060864,-32.6551399230957
1789602331.28035,1064960,-32.7803840637207
1789602334.201086,1075200,-33.07160949707031
1789602334.785793,1077248,-33.01248550415039
1789602338.2905118,1089536,-32.78565216064453
1789602339.462796,1093632,-32.60995864868164
1789602340.049217,1095680,-32.62303924560547
1789602340.634412,1097728,-32.720970153808594
1789602341.2196171,1099776,-32.78563690185547
1789602341.804775,1101824,-32.558223724365234
1789602342.389844,1103872,-32.650306701660156
1789602343.565932,1107968,-32.68812942504883
1789602344.153267,1110016,-32.7291145324707
1789602344.740046,1112064,-32.84941101074219
1789602347.689051,1122304,-32.629417419433594
1789602348.272862,1124352,-32.63941192626953
1789602348.856883,1126400,-32.69783020019531
1789602350.02589,1130496,-32.662879943847656
1789602352.3632262,1138688,-32.624629974365234
1789602353.5322938,1142784,-32.834224700927734
1789602354.701746,1146880,-33.01580047607422
1789602357.0399208,1155072,-32.640594482421875
1789602357.624625,1157120,-32.778961181640625
1789602358.2099478,1159168,-32.863739013671875
1789602360.545436,1167360,-32.64931106567383
1789602362.877686,1175552,-32.49781799316406
1789602363.457043,1177600,-32.4467887878418
1789602365.205895,1183744,-32.456947326660156
1789602366.372183,1187840,-32.61808395385742
1789602366.95463,1189888,-32.84130859375
1789602367.538154,1191936,-32.88298416137695
1789602368.1214879,1193984,-33.02376937866211
1789602368.7012239,1196032,-32.807861328125
1789602369.284574,1198080,-32.81415939331055
1789602370.449972,1202176,-32.72878646850586
1789602371.0335538,1204224,-32.76009750366211
1789602373.954209,1214464,-32.691650390625
1789602374.537548,1216512,-32.79499435424805
1789602376.284999,1222656,-32.91780090332031
1789602376.8685892,1224704,-32.76578903198242
1789602378.6169128,1230848,-32.54677963256836
1789602379.783975,1234944,-32.55577850341797
1789602382.123337,1243136,-32.567588806152344
1789602383.2915049,1247232,-32.68959045410156
1789602384.461707,1251328,-32.686153411865234
1789602385.652396,1255424,-32.6571159362793
1789602387.4035058,1261568,-32.505619049072266
1789602389.735232,1269760,-32.73493576049805
1789602390.3178189,1271808,-32.867191314697266
1789602391.485315,1275904,-32.830631256103516
1789602393.2372842,1282048,-32.6737060546875
1789602395.5772202,1290240,-32.69450378417969
1789602398.514966,1300480,-32.84843444824219
1789602402.614659,1314816,-32.271610260009766
1789602403.201078,1316864,-32.291107177734375
1789602404.377242,1320960,-32.27104187011719
1789602404.969167,1323008,-32.284969329833984
1789602405.558391,1325056,-32.226558685302734
1789602406.144709,1327104,-32.44999694824219
1789602406.7311418,1329152,-32.513118743896484
1789602407.3191528,1331200,-32.507144927978516
1789602409.076262,1337344,-32.57597732543945
1789602411.4225411,1345536,-32.84646224975586
1789602412.010127,1347584,-33.058937072753906
1789602414.359981,1355776,-32.64588165283203
1789602416.1223092,1361920,-32.626956939697266
1789602417.298197,1366016,-32.78682327270508
1789602418.4706,1370112,-33.0050163269043
1789602420.232327,1376256,-33.002403259277344
1789602420.818149,1378304,-32.81979751586914
1789602421.40495,1380352,-32.715572357177734
1789602422.016841,1382400,-32.873985290527344
1789602422.60354,1384448,-32.81959915161133
1789602423.771738,1388544,-32.64601135253906
1789602424.356964,1390592,-32.66151428222656
1789602424.942763,1392640,-32.571651458740234
